,col_type,missing_vals,count,unique,top,freq,mean,std,min,25%,50%,75%,max
listing_id,int64,0,68275.0,2829,,,4759910.337898206,3788990.144213695,3353.0,1458081.0,4080000.0,7377034.0,14843783.0
id,int64,0,68275.0,68275,,,52465163.76331014,27909908.424560845,1021.0,30104202.5,52231212.0,76632476.0,99990454.0
date,object,0,68275,2045,2016-04-19,342,,,,,,,
reviewer_id,int64,0,68275.0,63789,,,28023891.4279751,22340967.13292139,143.0,9001346.0,23051786.0,42134545.0,93350341.0
reviewer_name,object,0,68275,14775,David,654,,,,,,,
comments,object,53,68222,67311,The host canceled this reservation the day before arrival. This is an automated posting.,112,,,,,,,
