,col_type,missing_vals,count,unique,top,freq,mean,std,min,25%,50%,75%,max
listing_id,int64,0,1308890.0,3585,,,8442117.776352482,4500148.919018028,3353.0,4679319.0,8578709.5,12796034.0,14933461.0
date,object,0,1308890,365,2016-11-07,3586,,,,,,,
available,object,0,1308890,2,f,665853,,,,,,,
price,object,665853,643037,1246,$150.00,20752,,,,,,,
