,col_type,missing_vals,count,unique,top,freq,mean,std,min,25%,50%,75%,max
neighbourhood,object,543,3042,30,Allston-Brighton,364,,,,,,,
neighbourhood_cleansed,object,0,3585,25,Jamaica Plain,343,,,,,,,
neighbourhood_group_cleansed,float64,3585,0.0,0,,,,,,,,,
city,object,2,3583,38,Boston,3381,,,,,,,
state,object,0,3585,1,MA,3585,,,,,,,
zipcode,object,38,3547,43,02116,388,,,,,,,
market,object,14,3571,4,Boston,3568,,,,,,,
smart_location,object,0,3585,39,"Boston, MA",3381,,,,,,,
country_code,object,0,3585,1,US,3585,,,,,,,
country,object,0,3585,1,United States,3585,,,,,,,
latitude,float64,0,3585.0,3585,,,42.34003172606542,0.024402551941651175,42.235941807706816,42.329994585582796,42.345200652691716,42.35468545650279,42.38998167884297
longitude,float64,0,3585.0,3585,,,-71.08481755174338,0.03156464481694356,-71.17178882136898,-71.10508282460825,-71.07842855228066,-71.06215495192623,-71.00009991969033
is_location_exact,object,0,3585,2,t,3080,,,,,,,
property_type,object,3,3582,13,Apartment,2612,,,,,,,
room_type,object,0,3585,3,Entire home/apt,2127,,,,,,,
accommodates,int64,0,3585.0,14,,,3.0412831241283125,1.7789294170905887,1.0,2.0,2.0,4.0,16.0
bathrooms,float64,14,3571.0,12,,,1.221646597591711,0.5014870653889488,0.0,1.0,1.0,1.0,6.0
bedrooms,float64,10,3575.0,6,,,1.255944055944056,0.7530596402115356,0.0,1.0,1.0,2.0,5.0
beds,float64,9,3576.0,11,,,1.6090604026845639,1.011744521630702,0.0,1.0,1.0,2.0,16.0
bed_type,object,0,3585,5,Real Bed,3453,,,,,,,
amenities,object,0,3585,3092,{},32,,,,,,,
square_feet,float64,3529,56.0,37,,,858.4642857142857,608.8743104894686,0.0,415.0,825.0,1200.0,2400.0
price,object,0,3585,324,$150.00,144,,,,,,,
weekly_price,object,2693,892,243,"$1,000.00",48,,,,,,,
monthly_price,object,2697,888,288,"$3,500.00",30,,,,,,,
security_deposit,object,2243,1342,54,$100.00,299,,,,,,,
cleaning_fee,object,1107,2478,79,$100.00,353,,,,,,,
guests_included,int64,0,3585.0,13,,,1.4298465829846583,1.0567869534928824,0.0,1.0,1.0,1.0,14.0
extra_people,object,0,3585,51,$0.00,2211,,,,,,,
minimum_nights,int64,0,3585.0,29,,,3.1712691771269177,8.87413289157623,1.0,1.0,2.0,3.0,300.0
maximum_nights,int64,0,3585.0,85,,,28725.83682008368,1670135.937685796,1.0,365.0,1125.0,1125.0,99999999.0
calendar_updated,object,0,3585,38,today,833,,,,,,,
has_availability,float64,3585,0.0,0,,,,,,,,,
availability_30,int64,0,3585.0,31,,,8.649930264993026,10.435329950880984,0.0,0.0,4.0,15.0,30.0
availability_60,int64,0,3585.0,61,,,21.833193863319387,21.860966480219926,0.0,0.0,16.0,40.0,60.0
availability_90,int64,0,3585.0,91,,,38.5581589958159,33.15827222125825,0.0,0.0,37.0,68.0,90.0
availability_365,int64,0,3585.0,348,,,179.34644351464436,142.1361796288128,0.0,19.0,179.0,325.0,365.0
calendar_last_scraped,object,0,3585,1,2016-09-06,3585,,,,,,,
number_of_reviews,int64,0,3585.0,178,,,19.04463040446304,35.5716582919979,0.0,1.0,5.0,21.0,404.0
first_review,object,756,2829,975,2016-04-05,23,,,,,,,
last_review,object,756,2829,404,2016-09-05,118,,,,,,,
review_scores_rating,float64,813,2772.0,48,,,91.91666666666667,9.531685653472252,20.0,89.0,94.0,98.25,100.0
review_scores_accuracy,float64,823,2762.0,8,,,9.43157132512672,0.9318632207017771,2.0,9.0,10.0,10.0,10.0
review_scores_cleanliness,float64,818,2767.0,9,,,9.25804119985544,1.1689769373295449,2.0,9.0,10.0,10.0,10.0
